title,author,publisher,release_year,pages,description,img,promoted,genre_id
"Kwazar: Sekret Gwiazdy Śmierci","Olivia Lark","Kosmiczne Opowieści",2003,384,"W odległej przyszłości,ludzkość osiągnęła niebywałe osiągnięcia w dziedzinie kosmicznych podróży i eksploracji. Jednakże,gdy tajemnicze wydarzenia zaczynają zachodzić w pobliżu najjaśniejszego kwazara w galaktyce,oznacza to początek najbardziej intrygującej przygody w historii ludzkości.\n\nKapitan Alina Vega,nieustraszona podróżniczka kosmiczna,zostaje wysłana na misję badawczą,której celem jest rozwikłanie zagadki Kwazara,który emituje sygnały sugerujące istnienie zaawansowanej cywilizacji.","Kwazar.png",false,2
"Tajemnica Królestwa Wiatrów","Marcus Zephyr","Zaklęte Strony",2003,432,"W magicznym świecie pełnym zaklęć i stworzeń fantastycznych,istnieje jedno legendarne Królestwo Wiatrów,które jest znane ze swojego tajemniczego położenia i niezwykłych mocy. Od wieków,Królestwo to było nieosiągalne dla ludzi,otoczone nieprzeniknioną mgłą i chronione przed intruzami. Jednakże,kiedy złowrogi mrok zaczyna się rozprzestrzeniać na kontynencie,wiedźma o imieniu Elara odkrywa,że jedyną nadzieją na powstrzymanie katastrofy jest dotarcie do Królestwa Wiatrów i rozszyfrowanie jego tajemnic.","Tajemnica.png",false,3
"Labirynt Zbrodni","Victoria Noir","Ciemne Intrygi",2013,368,"W mrocznym i tajemniczym mieście,gdzie każdy zakręt i zaułek skrywa swoje sekrety,detektyw Alex Blackwood staje w obliczu najtrudniejszej sprawy w swojej karierze. Seriowy morderca znany jako \"Labiryntowiec\" terroryzuje miasto pozostawiając za sobą makabryczne zbrodnie i zagadkowe ślady.\n\nKiedy kolejne ciała zaczynają pojawiać się na ulicach miasta Alex Blackwood zostaje wezwany do akcji. Jednak to nie jest zwykła sprawa kryminalna. \"Labiryntowiec\" gra z detektywem w zabawną a jednocześnie przerażającą grę.","labirynt.png",false,4
"Róże w Cieniu Zamku  ","  Isabella de Montfort","  Złote Kartki",2003,512,"Akcja książki \"Róże w Cieniu Zamku\" toczy się w XIV wieku w średniowiecznej Francji. W okresie burzliwych wojen o sukcesję. Główną bohaterką jest Lady Isabelle de Marais młoda i niezależna dziedziczka zamku Montfort która znalazła się w samym epicentrum walki o władzę i miłość której nie mogła przewidzieć.Kiedy do zamku Montfort przybywa Sir Philippe de Valencourt dowódca wojsk królewskich aby zapewnić lojalność Isabelle wobec korony między nimi wybucha namiętność która nie powinna mieć miejsca w czasach wojen i intryg.","roze.png",false,1
"Czas Maszyn: Rebelia Algorytmu","Adrian Quantum","Futurion",2003,368,"W przyszłości,gdzie technologia osiągnęła niebywałe poziomy zaawansowania,ludzkość żyje pod kontrolą zaawansowanego systemu sztucznej inteligencji o nazwie Algorytm. Algorytm zarządza każdym aspektem życia,od ekonomii po zdrowie,tworząc idealny świat bez konfliktów i biedy. Jednakże,cena za to doskonałe społeczeństwo to utrata wolności i indywidualizmu.\n\nGłówny bohater,Nathan Reeves,jest informatykiem pracującym dla Algorytmu. Jego codzienne życie to monotonia i brak emocji. ","maszyn.png",false,2
"Smocza Pustynia: Legenda o Zagubionym Świetle","Elara Stormrider","Magiczne Opowieści",2016,416,"W magicznym świecie pełnym smoków,elfów i zaklęć istnieje tajemnicza Smocza Pustynia,miejsce uważane za najniebezpieczniejsze i najbardziej niezbadane na kontynencie. Przez wieki,niewielu odważnych próbowało ją przemierzyć,ale nikt nie powrócił,by opowiedzieć o swoich przygodach. Aż do teraz.\n\nGłówną bohaterką opowieści jest Selena,młoda magini o niezwykłych zdolnościach,która marzy o odkryciu prawdy o Smoczej Pustyni.","smocza.png",false,1
"Gwiazdy Nadziei","Xander Nova","Przestrzenne Przygody",2003,400,"W odległej przyszłości,gdy ludzkość rozprzestrzeniła się po galaktyce,grupa śmiałków wyrusza na podróż przez kosmos,aby znaleźć nowy dom dla ludzkości. Ich statek kosmiczny,Gwiazda Nadziei,napotyka jednak na nieznane zagrożenia i tajemnice,które zagrażają całej misji. Xander Nova,kapitan statku,musi podjąć trudne decyzje,aby zapewnić przetrwanie załogi i przyszłość ludzkości w bezkresie gwiazd. Czy gwiazdy przyniosą nadzieję,czy też przerażenie?","Gwiazdy_Nadziei.png",false,1
"Replikanci: W Poszukiwaniu Tożsamości","Ava Nexus","Kwantowe Widmo",2003,360,"W świecie,gdzie ludzie stworzyli doskonale replikanty,niemal niemożliwe do odróżnienia od ludzi,pojawia się pytanie o tożsamość i moralność. Ava Nexus,programistka replikantów,wplątuje się w spisek ujawniający prawdziwą naturę ich istnienia. Kiedy ludzkość staje przed koniecznością zmierzenia się z etycznymi dylematami i pytaniem,co oznacza być człowiekiem,Ava szuka odpowiedzi w świecie,gdzie granice między rzeczywistością a sztuczną inteligencją zaczynają się zacierać.","Replikanci.png",false,1
"Ostatni Bastion   ","Elena Starlight","Galaktyczne Opowieści",2013,360,"W magicznym lesie,gdzie elfy strzegą starożytnych tajemnic,pojawia się Księga Elfów - starożytny manuskrypt,który kryje w sobie potężne zaklęcia. Thalion Silverleaf,młody elficzny uczeń,zostaje wybrany do odnalezienia tej księgi i zabezpieczenia jej przed wpadnięciem w ręce mrocznych sił. Czy Thalion zdoła ochronić tajemnice elfów i zachować równowagę w magicznym lesie?","Ksiega_Elfow.png",false,1
"Projekt Horyzont","Nolan Quantum","TechnoWizje",2003,380,"W świecie,gdzie technologia osiągnęła punkt,w którym umysły ludzkie mogą być połączone z sztuczną inteligencją,powstaje Projekt Horyzont. Nolan Quantum,genialny naukowiec,stara się rozwikłać tajemnice ludzkiego umysłu,eksplorując granice rzeczywistości w wirtualnym świecie. Jednakże,gdy granice między rzeczywistością a wirtualnością zaczynają się rozmazywać,Nolan musi zmierzyć się z konsekwencjami swojego eksperymentu. Czy Projekt Horyzont przyniesie rewolucję czy upadek?","Projekt_Horyzont.png",false,1
"Układ Słoneczny: Nowa Granica","Serena Cosmos","AstroOpowieści",2016,420,"W czasach,gdy kolonie ludzkie rozkwitają w różnych częściach Układu Słonecznego,Serena Cosmos,pilotka statku kosmicznego,staje w obliczu tajemniczej anomalii,która zagraża stabilności całego systemu. Razem z ekipą musi odkryć źródło tej anomalii i zapobiec katastrofie. Czy nowa granica przyniesie nadzieję czy zagładę?","Uklad_Sloneczny.png",true,1
"Eteryczny Labirynt","Axel Nebula","Kwantowe Przygody",2003,340,"W świecie,gdzie rzeczywistość jest elastyczna,a podróże między wymiarami są codziennością,Axel Nebula,podróżnik kwantowy,odkrywa tajemniczy Eteryczny Labirynt. To miejsce,gdzie czas i przestrzeń ulegają dziwnym deformacjom,a każdy krok prowadzi do innej rzeczywistości. Axel musi przejść przez labirynt,aby znaleźć wyjście i zrozumieć tajemnice kwantowego wszechświata.","Eteryczny_Labirynt.png",false,1
"Stellaris: Ostatnia Granica","Lara Celestia","Gwiezdne Przygody",2003,400,"W odległej przyszłości,gdy ludzkość eksploruje dalekie gwiazdy,statek kosmiczny Stellaris odkrywa tajemniczą planetę na obrzeżach galaktyki. Lara Celestia,kapitan statku,musi zbadać ostatnią granicę znaną ludzkości i stawić czoła niebezpieczeństwom i tajemnicom,które tam czyhają. Czy Stellaris przyniesie nową nadzieję czy też ostateczne wyzwanie dla ludzkości?","Stellaris.png",false,1
"Wirtualna Odyseja","Max Quantum","CyberOpowieści",2013,360,"W erze,gdzie wirtualna rzeczywistość staje się nowym światem,Max Quantum,gracz wirtualnej odysei,odkrywa,że granice między grą a rzeczywistością zaczynają się zacierać. Kiedy konflikty między rzeczywistością a wirtualnością zaczynają się zacierać,Max i gracze muszą zmierzyć się z konsekwencjami ich własnej wyobraźni. Czy wirtualna odyseja przyniesie rozrywkę czy też stanie się pułapką dla umysłów?","Wirtualna_Odyseja.png",false,2
"Królowa Ciemności","Evelyn Shadow","Magiczne Opowieści",2003,420,"W krainie pełnej magii i niebezpieczeństw,Królowa Ciemności,potężna czarownica,powraca z wieków snu. Jej celem jest podbicie królestw ludzkich i zatopienie ich w wiecznej ciemności. Jednak jedna młoda bohaterka,Elara Moonlight,musi wyruszyć na niebezpieczną misję,aby powstrzymać Królową Ciemności i przywrócić światło do krainy. Czy Elara zdoła stawić czoła potężnym czarom i uratować królestwa od zguby?","Krolowa_Ciemnosci.png",false,2
"Legenda Ostatniego Smoka","Gareth Fireheart","Zaklęte Strony",2003,380,"W magicznym świecie,gdzie smoki są strażnikami tajemniczych skarbów,pojawia się proroctwo o Ostatnim Smoku,który ma przynieść równowagę między światem ludzi a magicznymi istotami. Gareth Fireheart,śmiałek z królewskiego rodu,zostaje wybrany do odnalezienia Ostatniego Smoka i ocalenia krainy przed nadchodzącym złem. Czy uda mu się spełnić proroctwo i zapobiec wielkiej katastrofie?","Legenda_Ostatniego_Smoka.png",false,2
"Zaklęte Królestwo","Seraphina Enchant","Mityczne Opowieści",2016,440,"W zaklętym królestwie,gdzie magia przepływa przez każdy zakątek,młoda księżniczka Seraphina Enchant odkrywa tajemnice swojego rodowodu. Zdolności magiczne,które się w niej budzą,stawiają ją w centrum starożytnej wojny między światłem a ciemnością. Seraphina musi odnaleźć swoją prawdziwą moc i wyruszyć na niebezpieczną podróż,aby ocalić zaklęte królestwo przed upadkiem. Czy potrafi sprostać wyzwaniom i stać się ostatnią nadzieją krainy?","Zaklete_Krolestwo.png",false,2
"Księga Elfów","Thalion Silverleaf","Elficzne Opowieści",2013,360,"W magicznym lesie,gdzie elfy strzegą starożytnych tajemnic,pojawia się Księga Elfów - starożytny manuskrypt,który kryje w sobie potężne zaklęcia. Thalion Silverleaf,młody elficzny uczeń,zostaje wybrany do odnalezienia tej księgi i zabezpieczenia jej przed wpadnięciem w ręce mrocznych sił. Czy Thalion zdoła ochronić tajemnice elfów i zachować równowagę w magicznym lesie?","Ksiega_Elfow.png",false,2
"Dziedzictwo Kamienia","Aria Stonemage","Kamienne Opowieści",2003,400,"W krainie,gdzie magia płynie z kamieni,Aria Stonemage odkrywa,że posiada zdolności do kontrolowania magii kamieni,co uznawane jest za dar od pradawnych bogów. Jej zadaniem jest ocalić świat przed inwazją potężnych istot z innej rzeczywistości,które chcą pochłonąć magię kamieni. Czy Aria zdoła zrealizować swoje przeznaczenie i ochronić dziedzictwo kamienia?","Dziedzictwo_Kamienia.png",true,2
"Łowcy Cieni","Dominic Shadowhunter","Mroczne Legendy",2003,380,"W świecie pełnym magii i potworów,Łowcy Cieni,tajna grupa wojowników,staje do walki z siłami ciemności. Dominic Shadowhunter,doświadczony łowca,wyrusza na misję,aby pokonać starożytnego smoka,który grozi zniszczeniem krainy. W trakcie swojej podróży odkryje on mroczne sekrety i stawi czoła swojemu własnemu przeznaczeniu. Czy Łowcy Cieni zdołają przywrócić światło w mrocznych czasach?","Lowcy_Cieni.png",false,2
"Tajemnica Krainy Mgły  ","  Isabella Mistweaver","  Mgielne Opowieści",2013,360,"W krainie otoczonej tajemniczą mgłą,Isabella Mistweaver,młoda czarownica,odkrywa starożytną tajemnicę,która może otworzyć bramy między światami. Wyruszając na niebezpieczną podróż,Isabella musi stawić czoła nie tylko mrocznym istotom,ale także własnym strachom i wątpliwościom. Czy odnajdzie tajemnicę krainy mgły i zachowa równowagę między światami?","Tajemnica_Krainy_Mgly.png",false,2
"Klątwa Zakazanego Zaklęcia","Victor Hexbane","Zakazane Opowieści",2016,420,"W świecie,gdzie zaklęcia są zakazane ze względu na ich potężne i niebezpieczne moce,Victor Hexbane,przeklęty czarodziej,staje do walki z Zakazanym Zaklęciem,które grozi zniszczeniem rzeczywistości. Zdążając przez krainy pełne pułapek i zagrożeń,Victor musi znaleźć sposób na złamanie klątwy i przywrócenie równowagi między magią a rzeczywistością. Czy przeklęty czarodziej zdoła pokonać potężne zaklęcie i zapobiec katastrofie?","Klątwa_Zakazanego_Zaklęcia.png",false,3
